onset	duration	trial_type	response_time	sample	value
3.1005000000	0.0002000000	stimulus	n/a	31005.0000000000	Median - Stimulation
3.4844000000	0.0002000000	stimulus	n/a	34844.0000000000	Tibial - Stimulation
3.9135000000	0.0002000000	stimulus	n/a	39135.0000000000	Median - Stimulation
4.2969000000	0.0002000000	stimulus	n/a	42969.0000000000	Tibial - Stimulation
4.6527000000	0.0002000000	stimulus	n/a	46527.0000000000	Median - Stimulation
5.0142000000	0.0002000000	stimulus	n/a	50142.0000000000	Tibial - Stimulation
5.3796000000	0.0002000000	stimulus	n/a	53796.0000000000	Median - Stimulation
5.7608000000	0.0002000000	stimulus	n/a	57608.0000000000	Tibial - Stimulation
6.1879000000	0.0002000000	stimulus	n/a	61879.0000000000	Median - Stimulation
6.6207000000	0.0002000000	stimulus	n/a	66207.0000000000	Tibial - Stimulation
7.0042000000	0.0002000000	stimulus	n/a	70042.0000000000	Median - Stimulation
7.3437000000	0.0002000000	stimulus	n/a	73437.0000000000	Tibial - Stimulation
7.7759000000	0.0002000000	stimulus	n/a	77759.0000000000	Median - Stimulation
8.1863000000	0.0002000000	stimulus	n/a	81863.0000000000	Tibial - Stimulation
8.6122000000	0.0002000000	stimulus	n/a	86122.0000000000	Median - Stimulation
9.0223000000	0.0002000000	stimulus	n/a	90223.0000000000	Tibial - Stimulation
9.4448000000	0.0002000000	stimulus	n/a	94448.0000000000	Median - Stimulation
9.8073000000	0.0002000000	stimulus	n/a	98073.0000000000	Tibial - Stimulation
10.2435000000	0.0002000000	stimulus	n/a	102435.0000000000	Median - Stimulation
10.6323000000	0.0002000000	stimulus	n/a	106323.0000000000	Tibial - Stimulation
11.0308000000	0.0002000000	stimulus	n/a	110308.0000000000	Median - Stimulation
11.4319000000	0.0002000000	stimulus	n/a	114319.0000000000	Tibial - Stimulation
11.7757000000	0.0002000000	stimulus	n/a	117757.0000000000	Median - Stimulation
12.1642000000	0.0002000000	stimulus	n/a	121642.0000000000	Tibial - Stimulation
12.5886000000	0.0002000000	stimulus	n/a	125886.0000000000	Median - Stimulation
12.9854000000	0.0002000000	stimulus	n/a	129854.0000000000	Tibial - Stimulation
13.3876000000	0.0002000000	stimulus	n/a	133876.0000000000	Median - Stimulation
13.7925000000	0.0002000000	stimulus	n/a	137925.0000000000	Tibial - Stimulation
14.2126000000	0.0002000000	stimulus	n/a	142126.0000000000	Median - Stimulation
14.6408000000	0.0002000000	stimulus	n/a	146408.0000000000	Tibial - Stimulation
15.0145000000	0.0002000000	stimulus	n/a	150145.0000000000	Median - Stimulation
15.3549000000	0.0002000000	stimulus	n/a	153549.0000000000	Tibial - Stimulation
15.7563000000	0.0002000000	stimulus	n/a	157563.0000000000	Median - Stimulation
16.0944000000	0.0002000000	stimulus	n/a	160944.0000000000	Tibial - Stimulation
16.4775000000	0.0002000000	stimulus	n/a	164775.0000000000	Median - Stimulation
16.8530000000	0.0002000000	stimulus	n/a	168530.0000000000	Tibial - Stimulation
17.2281000000	0.0002000000	stimulus	n/a	172281.0000000000	Median - Stimulation
17.5833000000	0.0002000000	stimulus	n/a	175833.0000000000	Tibial - Stimulation
17.9541000000	0.0002000000	stimulus	n/a	179541.0000000000	Median - Stimulation
18.3026000000	0.0002000000	stimulus	n/a	183026.0000000000	Tibial - Stimulation
18.7327000000	0.0002000000	stimulus	n/a	187327.0000000000	Median - Stimulation
19.1485000000	0.0002000000	stimulus	n/a	191485.0000000000	Tibial - Stimulation
19.4930000000	0.0002000000	stimulus	n/a	194930.0000000000	Median - Stimulation
19.8912000000	0.0002000000	stimulus	n/a	198912.0000000000	Tibial - Stimulation
20.2843000000	0.0002000000	stimulus	n/a	202843.0000000000	Median - Stimulation
20.6598000000	0.0002000000	stimulus	n/a	206598.0000000000	Tibial - Stimulation
21.0960000000	0.0002000000	stimulus	n/a	210960.0000000000	Median - Stimulation
21.4782000000	0.0002000000	stimulus	n/a	214782.0000000000	Tibial - Stimulation
21.8821000000	0.0002000000	stimulus	n/a	218821.0000000000	Median - Stimulation
22.3055000000	0.0002000000	stimulus	n/a	223055.0000000000	Tibial - Stimulation
22.6879000000	0.0002000000	stimulus	n/a	226879.0000000000	Median - Stimulation
23.0537000000	0.0002000000	stimulus	n/a	230537.0000000000	Tibial - Stimulation
23.4412000000	0.0002000000	stimulus	n/a	234412.0000000000	Median - Stimulation
23.8456000000	0.0002000000	stimulus	n/a	238456.0000000000	Tibial - Stimulation
24.2594000000	0.0002000000	stimulus	n/a	242594.0000000000	Median - Stimulation
24.6706000000	0.0002000000	stimulus	n/a	246706.0000000000	Tibial - Stimulation
