onset	duration	trial_type	response_time	sample	value
3.6091000000	0.0002000000	stimulus	n/a	36091.0000000000	Median - Stimulation
4.3675000000	0.0002000000	stimulus	n/a	43675.0000000000	Median - Stimulation
5.1616000000	0.0002000000	stimulus	n/a	51616.0000000000	Median - Stimulation
5.9218000000	0.0002000000	stimulus	n/a	59218.0000000000	Median - Stimulation
6.6408000000	0.0002000000	stimulus	n/a	66408.0000000000	Median - Stimulation
7.4488000000	0.0002000000	stimulus	n/a	74488.0000000000	Median - Stimulation
8.2109000000	0.0002000000	stimulus	n/a	82109.0000000000	Median - Stimulation
8.9668000000	0.0002000000	stimulus	n/a	89668.0000000000	Median - Stimulation
9.7100000000	0.0002000000	stimulus	n/a	97100.0000000000	Median - Stimulation
10.4791000000	0.0002000000	stimulus	n/a	104791.0000000000	Median - Stimulation
11.2215000000	0.0002000000	stimulus	n/a	112215.0000000000	Median - Stimulation
11.9946000000	0.0002000000	stimulus	n/a	119946.0000000000	Median - Stimulation
12.7848000000	0.0002000000	stimulus	n/a	127848.0000000000	Median - Stimulation
13.5537000000	0.0002000000	stimulus	n/a	135537.0000000000	Median - Stimulation
14.3569000000	0.0002000000	stimulus	n/a	143569.0000000000	Median - Stimulation
15.0992000000	0.0002000000	stimulus	n/a	150992.0000000000	Median - Stimulation
15.9032000000	0.0002000000	stimulus	n/a	159032.0000000000	Median - Stimulation
16.7033000000	0.0002000000	stimulus	n/a	167033.0000000000	Median - Stimulation
17.5044000000	0.0002000000	stimulus	n/a	175044.0000000000	Median - Stimulation
18.3144000000	0.0002000000	stimulus	n/a	183144.0000000000	Median - Stimulation
19.0955000000	0.0002000000	stimulus	n/a	190955.0000000000	Median - Stimulation
19.8687000000	0.0002000000	stimulus	n/a	198687.0000000000	Median - Stimulation
20.6007000000	0.0002000000	stimulus	n/a	206007.0000000000	Median - Stimulation
21.3299000000	0.0002000000	stimulus	n/a	213299.0000000000	Median - Stimulation
22.0561000000	0.0002000000	stimulus	n/a	220561.0000000000	Median - Stimulation
22.8561000000	0.0002000000	stimulus	n/a	228561.0000000000	Median - Stimulation
