onset	duration	trial_type	response_time	sample	value
4.2348000000	0.0002000000	stimulus	n/a	42348.0000000000	Tibial - Stimulation
5.0477000000	0.0002000000	stimulus	n/a	50477.0000000000	Tibial - Stimulation
5.8286000000	0.0002000000	stimulus	n/a	58286.0000000000	Tibial - Stimulation
6.6223000000	0.0002000000	stimulus	n/a	66223.0000000000	Tibial - Stimulation
7.4340000000	0.0002000000	stimulus	n/a	74340.0000000000	Tibial - Stimulation
8.2498000000	0.0002000000	stimulus	n/a	82498.0000000000	Tibial - Stimulation
8.9668000000	0.0002000000	stimulus	n/a	89668.0000000000	Tibial - Stimulation
9.7534000000	0.0002000000	stimulus	n/a	97534.0000000000	Tibial - Stimulation
10.4884000000	0.0002000000	stimulus	n/a	104884.0000000000	Tibial - Stimulation
11.2301000000	0.0002000000	stimulus	n/a	112301.0000000000	Tibial - Stimulation
11.9511000000	0.0002000000	stimulus	n/a	119511.0000000000	Tibial - Stimulation
12.7534000000	0.0002000000	stimulus	n/a	127534.0000000000	Tibial - Stimulation
13.5274000000	0.0002000000	stimulus	n/a	135274.0000000000	Tibial - Stimulation
14.2520000000	0.0002000000	stimulus	n/a	142520.0000000000	Tibial - Stimulation
15.0277000000	0.0002000000	stimulus	n/a	150277.0000000000	Tibial - Stimulation
15.7607000000	0.0002000000	stimulus	n/a	157607.0000000000	Tibial - Stimulation
16.5533000000	0.0002000000	stimulus	n/a	165533.0000000000	Tibial - Stimulation
17.3153000000	0.0002000000	stimulus	n/a	173153.0000000000	Tibial - Stimulation
18.0840000000	0.0002000000	stimulus	n/a	180840.0000000000	Tibial - Stimulation
18.8927000000	0.0002000000	stimulus	n/a	188927.0000000000	Tibial - Stimulation
19.6844000000	0.0002000000	stimulus	n/a	196844.0000000000	Tibial - Stimulation
20.4716000000	0.0002000000	stimulus	n/a	204716.0000000000	Tibial - Stimulation
21.2559000000	0.0002000000	stimulus	n/a	212559.0000000000	Tibial - Stimulation
22.0456000000	0.0002000000	stimulus	n/a	220456.0000000000	Tibial - Stimulation
22.8163000000	0.0002000000	stimulus	n/a	228163.0000000000	Tibial - Stimulation
23.6200000000	0.0002000000	stimulus	n/a	236200.0000000000	Tibial - Stimulation
24.3596000000	0.0002000000	stimulus	n/a	243596.0000000000	Tibial - Stimulation
25.1236000000	0.0002000000	stimulus	n/a	251236.0000000000	Tibial - Stimulation
25.9203000000	0.0002000000	stimulus	n/a	259203.0000000000	Tibial - Stimulation
26.6543000000	0.0002000000	stimulus	n/a	266543.0000000000	Tibial - Stimulation
27.4346000000	0.0002000000	stimulus	n/a	274346.0000000000	Tibial - Stimulation
28.2076000000	0.0002000000	stimulus	n/a	282076.0000000000	Tibial - Stimulation
28.9383000000	0.0002000000	stimulus	n/a	289383.0000000000	Tibial - Stimulation
29.7260000000	0.0002000000	stimulus	n/a	297260.0000000000	Tibial - Stimulation
30.5217000000	0.0002000000	stimulus	n/a	305217.0000000000	Tibial - Stimulation
31.3157000000	0.0002000000	stimulus	n/a	313157.0000000000	Tibial - Stimulation
32.0876000000	0.0002000000	stimulus	n/a	320876.0000000000	Tibial - Stimulation
